Category;Located_site;Body_length_mm
Rotifera;Lake_Qiandaohu;0.08
Rotifera;Lake_Qiandaohu;0.1
Rotifera;Lake_Qiandaohu;0.11
Rotifera;Lake_Qiandaohu;0.175
Rotifera;Lake_Qiandaohu;0.31
Rotifera;Guangdong_reservoirs;0.099391
Rotifera;Guangdong_reservoirs;0.312922
Cladocera;Lake_Qiandaohu;0.4
Cladocera;Lake_Qiandaohu;0.435714
Cladocera;Lake_Qiandaohu;0.935568
Cladocera;Lake_Qiandaohu;1.575
Cladocera;Guangdong_reservoirs;0.238095
Cladocera;Guangdong_reservoirs;0.285714
Cladocera;Guangdong_reservoirs;0.293651
Cladocera;Guangdong_reservoirs;0.380952
Cladocera;Guangdong_reservoirs;0.400898
Cladocera;Guangdong_reservoirs;0.515873
Copepoda;Lake_Qiandaohu;0.420257
Copepoda;Lake_Qiandaohu;0.642857
Copepoda;Lake_Qiandaohu;0.657917
Copepoda;Lake_Qiandaohu;0.680804
Copepoda;Lake_Qiandaohu;0.95
Copepoda;Lake_Qiandaohu;1.079167
Copepoda;Lake_Qiandaohu;1.142708
Copepoda;Lake_Qiandaohu;1.525
Copepoda;Guangdong_reservoirs;0.390698
Copepoda;Guangdong_reservoirs;0.455814
Copepoda;Guangdong_reservoirs;0.455814
Copepoda;Guangdong_reservoirs;0.642857
Copepoda;Guangdong_reservoirs;0.716279
Copepoda;Guangdong_reservoirs;0.95
Copepoda;Guangdong_reservoirs;1.2
